idx,words,lid
16,['Jag' 'ghumaya' 'thare' 'jaisa' 'naa' 'koi' '..' '.' 'u' 'r' 'the' 'best' 'Virat' 'luv' 'u' 'so' 'much' 'SULTAN' 'of' 'cricket' '..' '..' 'always' 'make' 'us' 'proud' '..' 'soon' 'meet' 'u' 'cheeku' 'in' 'ranchi' '..' '..' '.' ':' '*' ':' '*' ':' '*' ':' '*' ':' '*' 'luv' 'uh'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'ne' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'lang1' 'lang1']
17,['Dhoni' 'will' 'play' 'back' '2019' 'to' 'bring' 'world' 'cup' 'our' 'country'],['ne' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
18,['Yr' 'life' 'is' 'amazingallthough' '.' 'Admit' 'u' 'have' 'towork' 'v' 'hard' 'spend' 'hours'],['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
19,['' '' '' 'please' 'release' 'their' 'funds' 'so' 'these' 'animals' 'can' 'get' 'the' 'food' 'and' 'medical' 'care' 'due' 'to' 'them'],['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
20,"['Love' 'you' 'Bhaijan' 'I' ""'m"" 'super' 'jabar' 'biggest' 'fan' 'love' 'You']",['lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1']
21,['' '' 'No' 'worries' '.' 'I' 'understand' ':)'],['other' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'other']
22,['Yeah' '' 'is' 'big' 'fan' 'of' 'yours' '' 'and' 'i' 'am' 'fan' 'of' 'him' '.' 'Do' 'you' 'know' 'he' 'is' 'rockstar' '.' 'I' 'guess' 'you' 'have' 'not' 'noticed' 'him' '..'],['lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
23,['Yes' '!' 'we' 'are' 'waiting' 'to' 'see' 'you' 'on' 'Ellen' '!'],['lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'other']
24,['Hahaha' '.' 'Good' 'reply'],['other' 'other' 'lang1' 'lang1']
25,['' 'Short' 'pants' 'mindset' '.' 'Long' 'on' 'vitriol' 'and' 'short' 'on' 'grey' 'matter'],['other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
26,['admin' 'ab' 'is' 'pg' 'pe' 'post' 'krne' 'k' 'lia' 'kch' 'aur' 'nai' 'bacha' 'kya'],['lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
27,"['' '' 'It' ""'s"" 'still' 'a' 'very' 'small' 'gathering' '..' '.' 'but' 'it' ""'s"" 'ok' 'hope' 'there' 'is' 'a' 'good' 'fight' 'from' 'the' 'opposition']",['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
28,['Machis' 'to' 'joothe' 'badnaam' 'hai' 'aag' 'to' 'Kohli' 'ne' 'laga' 'rakhi' 'hai' 'very' 'very' 'congratulations' 'virat'],['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'ne']
29,"['You' 'have' 'done' 'wonders' 'for' 'India' 'and' 'for' 'the' 'moral' 'boost' 'of' 'the' 'Indians' '!' 'You' 'are' 'so' 'GREAT' ',' 'Modiji' '!!']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'ne' 'other']
30,['There' 'is' 'kohli' 'show' 'in' 'mohali' 'ground' 'the' 'run' 'machine' '150*kya' 'kholi' 'sir' 'bnna' 'pata' 'ha'],['lang1' 'lang1' 'ne' 'ne' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'ne' 'lang1' 'lang2' 'lang2' 'lang2']
31,['Salman' 'Ji' 'You' 'are' 'My' 'favorite' 'Hero' 'forever'],['ne' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
32,['Para' 'emprestar' 'de' 'cricket' 'defensivo' 'jogar' 'deu' 'a' 'agressivo' 'rebatendo' '&' 'isso' 'ajudar' 'tanto' 'india'],['fw' 'fw' 'fw' 'lang1' 'fw' 'fw' 'fw' 'fw' 'fw' 'fw' 'lang1' 'fw' 'fw' 'fw' 'ne']
33,['Priya' 'gi' 'sorry' 'in' 'the' 'no' 'play' 'option' 'happy' 'good' 'night'],['ne' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
34,"['Am' 'I' 'looking' 'at' 'a' 'politician' 'here' '??' 'Nope' '..' 'I' 'am' 'looking' 'at' 'a' 'leader' 'of' 'a' 'country' 'who' 'is' 'making' 'it' 'easier' 'for' 'the' 'people' 'to' 'know' 'the' 'difference' 'between' 'politician' 'and' 'leader' '..' 'A' 'leader' ',' 'the' 'people' ""'s"" 'choice' '..']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
35,['test' 'should' 'be' 'who' 'sets' 'the' 'class' 'on' 'fire' 'the' 'fastest'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
36,['Who' 'says' 'ab' 'devillers' 'better' '..' '.' 'I' 'think' 'virat' 'kohli' 'is' 'the' 'best' 'batsman' 'in' 'any' 'formats' 'in' 'the' 'world' '..' '.' '..' 'Raise' 'your' 'hands' 'if' 'you' 'think' 'virat' 'is' 'the' 'best' '..' '.'],['lang1' 'lang1' 'ne' 'ne' 'lang1' 'other' 'other' 'lang1' 'lang1' 'ne' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'other' 'other']
37,['wao' 'kohli' 'and' 'dhoni'],['lang1' 'ne' 'lang1' 'ne']
38,['Our' 'goodness' 'Russia' 'with' 'stand' 'of' 'india' 'we' 'have' 'to' 'need' 'Russia' 'alyays' 'escape' 'us' '..' '..' 'we' 'need' 'not' 'dare' 'to' 'any' 'country' 'itihaas' 'gvaa' 'hai'],['lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2']
39,['kyaa' 'comment' 'karen' 'big' 'bee' 'ke' 'liye' 'mein' 'unke' 'samaksh' 'baunaa' 'mahsoos' 'kartaa' 'hoon'],['lang2' 'lang1' 'lang2' 'ne' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
40,['Love' 'to' 'salman' 'bhaijan'],['lang1' 'lang1' 'ne' 'lang2']
41,['Bhai' 'aapne' 'kah' 'diya' 'bas' 'ab' 'to' 'ye' 'movie' 'bhi' 'dekhna' 'he'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2']
42,"['' 'Hi' ',' 'we' 'have' 'made' 'a' 'note' 'of' 'it' '.' 'We' 'will' 'get' 'back' 'to' 'you' '.']",['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
43,['' 'I' 'am' 'sorry' 'this' 'happened' 'to' 'you' '.' 'My' 'friend' 'faced' 'the' 'same' 'in' 'front' 'of' 'our' 'college' '.' 'Other' 'friend' 'faced' 'it' 'at' 'marine' 'drives' '.'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'other']
44,['' 'Can' 'share' 'many' 'recipes' '.' 'Going' 'the' 'keto' 'way' '?'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
45,['namo' 'ke' 'bhasan' 'se' 'to' 'esa' 'lagta' 'hai'],['ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
46,['Best' 'Possible' 'remedy' 'to' 'resolve' 'unmetered' 'Power' 'Supply' '' ''],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2']
47,['Sirji' 'i' 'have' 'watched' 'the' 'trailer' 'of' 'MS' 'DHONI' ':' 'the' 'untold' 'story' 'more' 'than' '30' 'times' 'and' 'i' 'am' 'still' 'watching' 'it' '.' 'You' 'are' 'the' 'best' '.'],['mixed' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'ne' 'ne' 'ne' 'ne' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
48,['Modi' 'ji' 'sir' 'aap' 'ka' 'jawab' 'nahin' 'par' 'putin' 'sir' 'bhi' 'lajawab' 'hai' '.' 'waqt' 'aane' 'par' 'America' 'line' 'badal' 'sakta' 'hai' 'par' 'russia' 'nahin' '.' 'kabhi' 'bhi' 'nahin' '.' 'Russian' 'pak' 'ke' 'pass' 'ja' 'ke' 'hame' 'ehsaas' 'karva' 'reha' 'hai' 'ke' 'hame' 'bhoolo' 'mat' 'aur' 'hame' 'bhoolna' 'bhi' 'nahin' 'chahia' '.'],['ne' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'ne' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
49,['why' 'dont' 'people' 'understand' 'the' 'difference' 'betwen' 'a' 'confession' 'nd' 'a' 'question' '?' 'anyway' 'to' 'answer' 'ur' 'question' '..' 'because' 'we' 'dont' 'need' 'to' 'impress' 'anyone' '-_-'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
50,"['Our' 'PM' 'is' 'Lion' ',' 'we' 'are' 'proud' 'we' 'are' 'Indian' 'my' 'PM' 'Modi' 'jee' 'is' 'one' 'of' 'the' 'king' 'maker' ',' '(' 'JAI' 'Hind' 'bharath' 'maatha' 'kee' 'jai' 'jai' 'Hind' 'jai' 'ho' 'Modi' 'jee' 'jai' 'Hind' 'bharath' 'maatha' 'kee' 'jai' 'jai' 'Hind' 'vande' 'maathram' 'JAI' 'HIND']",['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'ne' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
51,['Salute' 'sir' '.' 'Jai' 'hind' '.'],['lang1' 'lang1' 'other' 'lang2' 'lang2' 'other']
52,['' '' 'mai' 'aap' 'ka' 'bahut' 'bada' 'fan' 'hu' '..' 'mujhe' 'aapki' 'har' 'movie' 'bahut' 'pasand' 'hai' '..' '.' ''],['lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1']
53,['V' 'really' 'proud' 'of' 'India' 'rashia' 'friendship'],['lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'lang1']
54,['Hiiiii' 'sir' 'love' 'you' '..' '..' '..' '..' 'please' 'koi' 'acha' 'movie' 'leke' 'aiyye' '..' '..' '.' 'we' 'r' 'waiting' '!!' '!!'],['lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other' 'other' 'lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'other' 'other']
55,"['' ""It's"" 'like' 'pados' 'ka' 'launda' 'agar' 'aap' 'ko' 'thoktaa' 'hain' 'aur' 'aap' 'ke' 'papa' 'taali' 'bajaatey' 'sabhaash' 'beta' 'bahut' 'badiya' '!' 'Doh' 'aur' 'maar' '.']",['other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other']
56,['' 'stream' 'itt' 'now'],['lang1' 'lang1' 'lang1' 'lang1']
57,"['Didi' '(' 'PC' ')' 'Do' ""n't"" 'forget' 'Bollywood' ',' 'I' 'am' 'big' 'fan' 'Yash' ',' 'you' 'are' 'best' '&' 'best' '&' 'best' '.']",['lang2' 'other' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
58,['Modiji' 'age' 'bariea' 'puradesh' 'apka' 'sath' 'hai'],['ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
59,['Sacche' 'hindu' '..' '.' 'Ye' 'film' 'flop' 'kara' 'ke' 'rahenge' '..' '.'],['lang2' 'lang2' 'other' 'other' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'other']
60,['Ederson' 'is' 'so' 'impressive' ''],['ne' 'lang1' 'lang1' 'lang1' 'other']
61,['The' 'visiting' 'dignitary' 'clearly' 'irritated' 'by' 'Modi' 'already' '.' 'india' 'can' 'expect' 'something' 'negative' 'from' 'New' 'Zealand' 'as' 'well' '.'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'other' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'lang1' 'lang1' 'other']
62,['end' 'of' 'an' 'era' 'but' 'his' 'voice' 'will' 'be' 'echoing' 'rip'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
63,['Aamir' 'khan' 'ji' 'aap' 'meray' 'favoroute' 'actor' 'ho' 'mai' 'bus' 'ek' 'baar' 'apkay' 'pairo' 'ko' 'Chuna' 'chahta' 'hu' 'or' 'apko' 'gale' 'lagana' 'chahta' 'hu' 'yeh' 'mera' 'dream' 'hai' 'kyuki' 'aap' 'jaisa' 'talented' 'actor' 'or' 'aap' 'jaisa' 'acha' 'insaan' 'puri' 'duniya' 'mai' 'say' 'dhoodhnay' 'say' 'bhi' 'nahi' 'milega' 'plz' 'mujhay' 'ek' 'moka' 'dijiye' 'ki' 'mai' 'apna' 'dream' 'pura' 'kar' 'saku'],['ne' 'ne' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2']
64,"['The' 'message' 'would' 'be' 'farther' 'reaching' 'if' 'made' 'into' 'movie' '(' 'not' 'documentary' ')' '&' 'done' 'all' 'by' 'women' '..' '.' 'written' ',' 'directed' ',' 'produced' ',' 'music' '&' 'whatever' 'else' 'goes' 'into' 'getting' 'movie' 'done' '&' 'distributed' '.' 'U' 'have' 'the' 'talent' '&' 'connections' 'to' 'do' 'this' '.' 'People' 'love' 'to' 'emulate' 'their' 'favorite' 'movie/stars' '.' 'Girl' ""'s"" 'education' 'reality' 'could' 'be' 'changed' 'in' 'just' '1' 'generation' '.']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'other' 'lang1' 'other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other']
65,['A' 'modern' 'woman' 'always' 'is' 'n’t' 'one' 'fighting' 'for' 'her' 'rights' '.' 'Truly' 'modern' 'is' 'one' 'who' 'keeps' 'family' 'above' 'herself' '.' 'For' 'me' 'Mrs' 'Modi' 'most' 'modern'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1']
66,['' '' 'Done' '!'],['other' 'other' 'lang1' 'other']
67,['Hi' 'I' 'am' 'emraan' 'tum' 'friend' 'ban' 'jao' 'mere'],['lang1' 'lang1' 'lang1' 'ne' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2']
68,['Yoy' 'take' 'any' 'decisions' 'we' 'support' 'you' 'sir' 'and' 'we' 'proud' 'and' 'respect' 'you'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
69,['Always' 'cute' 'and' 'lucky' '.' 'and' 'Always' 'forward' 'from' 'other' 'people' '.'],['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
70,"['' ':' 'Life' 'sucks' ',' 'and' 'then' 'you' 'hook' 'up' 'with' 'someone' 'who' ""doesn't"" '...']",['other' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
