idx,words,lid,pos
10,"['RT' '@iihtishamm' ':' 'Coward' '#Indians' ""didn't"" 'come' 'to' 'Wahga'
 'today' ',' 'Yar' 'aj' 'to' 'ana' 'banta' 'ta' '#SurgicalStrike' 'ki'
 'khoshi' 'may' '#PakistanZindabad' 'htt']","['rest' 'rest' 'rest' 'en' 'rest' 'en' 'en' 'en' 'rest' 'en' 'rest' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'rest']","['X' 'X' 'X' 'ADJ' 'X' 'VERB' 'VERB' 'PART' 'PROPN' 'ADV' 'X' 'NOUN' 'ADV'
 'PART' 'VERB' 'NOUN' 'ADP' 'X' 'ADP' 'NOUN' 'VERB' 'X' 'X']"
11,"['@aakriti0720' '@Mehreen_Sibtain' '#SurgicalStrike' 'en' 'k' 'nervous'
 'system' 'pe' 'ho' 'gaya' 'hai' 'apny' 'beloved' 'army' 'k' 'uniform'
 'he' 'bhool' 'gaye' '.' 'Ban' 'gye' 'chutiye']","['rest' 'rest' 'rest' 'hi' 'hi' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'en'
 'en' 'hi' 'en' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi']","['X' 'X' 'X' 'VERB' 'ADP' 'ADJ' 'NOUN' 'ADP' 'VERB' 'VERB' 'VERB' 'PRON'
 'ADJ' 'NOUN' 'ADP' 'NOUN' 'VERB' 'VERB' 'VERB' 'X' 'VERB' 'VERB' 'NOUN']"
12,"['G' 'mre' 'Bharat' 'k' 'Bhaio' ',' 'chuna' 'lga' 'dia' 'na' ','
 'Bollywood' 'se' 'bhar' 'ao' '.' '#SurgicalStrike' '..' '1' 'thing' 'V'
 'both' 'PK' 'n' 'India' 'shud' 'stop' 'electing' 'cartoons' 'as' 'PM' '.'
 'https://t.co/ka3D35NxRO']","['hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'hi' 'hi'
 'hi' 'rest' 'rest' 'rest' 'rest' 'en' 'rest' 'en' 'rest' 'en' 'rest' 'en'
 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest']","['PART' 'ADJ' 'PROPN' 'ADP' 'NOUN' 'X' 'NOUN' 'VERB' 'VERB' 'PART_NEG' 'X'
 'PROPN' 'ADP' 'ADJ' 'PART' 'X' 'X' 'X' 'NUM' 'NOUN' 'PROPN' 'PRON'
 'PROPN' 'CONJ' 'PROPN' 'VERB' 'VERB' 'ADJ' 'NOUN' 'ADP' 'PROPN' 'X' 'X']"
13,"['Though' 'i' 'am' 'against' 'of' 'any' 'kind' 'of' 'war' '.' 'Lekin'
 'bachhe' 'ko' 'sudharne' 'ke' 'lye' 'ek' 'do' 'thappad' 'bahut' 'jaruri'
 'hai' '.' 'Warna' 'bigad' 'jaega' '.' '#SurgicalStrike']","['en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest'
 'rest']","['ADV' 'PRON' 'VERB' 'ADP' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'X' 'CONJ'
 'NOUN' 'ADP' 'VERB' 'ADP' 'NOUN' 'NUM' 'VERB' 'NOUN' 'ADV' 'VERB' 'VERB'
 'X' 'CONJ' 'DET' 'NOUN' 'X' 'X']"
14,"['RT' '@pakhishukla21' ':' 'Hey' '@ArvindKejriwal' 'you' 'forgot' '2'
 'add' 'ur' 'famous' 'tagline' '""' 'Iske' 'piche' 'Modi' 'ka' 'hath' 'hai'
 'ji' '.' '""' '#SurgicalStrike' '#IndianArmy' 'htt']","['rest' 'rest' 'rest' 'en' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'en'
 'rest' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest' 'rest'
 'rest']","['X' 'X' 'X' 'VERB' 'X' 'PRON' 'VERB' 'NUM' 'VERB' 'PRON' 'ADJ' 'NOUN' 'X'
 'PART' 'ADV' 'PROPN' 'ADP' 'NOUN' 'VERB' 'PART' 'X' 'X' 'X' 'X' 'X']"
15,"['@Virendrsehwag' 'statement' 'by' ""kejru's"" 'dad' 'abt' 'proof' 'of'
 'his' 'paternity' '""' 'us' 'rat' 'ko' 'humne' 'surgical' 'strike' 'kiya'
 'hi' 'nahi' '""' '#SurgicalStrike' '#proof']","['rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'hi' 'hi'
 'hi' 'hi' 'en' 'en' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest']","['X' 'NOUN' 'ADP' 'PROPN' 'NOUN' 'ADP' 'NOUN' 'ADP' 'PRON' 'NOUN' 'X'
 'DET' 'NOUN' 'ADP' 'PRON' 'ADJ' 'NOUN' 'VERB' 'PART' 'PART_NEG' 'X' 'X'
 'X']"
16,"['RT' '@ShRuttiK' ':' 'No' 'media' 'ask' 'to' 'army' 'officials' 'whn'
 'Bollywood' 'hero' 'do' 'well' 'in' 'their' 'movies' '.' 'then' 'why'
 'media' 'askng' 'on' '#SurgicalStrike' 'to' 'the' 'Bol']","['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'hi' 'hi' 'hi']","['X' 'X' 'X' 'PART_NEG' 'NOUN' 'VERB' 'PART' 'NOUN' 'NOUN' 'ADV' 'PROPN'
 'NOUN' 'VERB' 'ADV' 'ADP' 'PRON' 'NOUN' 'X' 'ADV' 'PRON_WH' 'NOUN' 'VERB'
 'ADP' 'X' 'PART' 'VERB' 'VERB']"
17,"['RT' '@its_belladonna' ':' ""I'm"" 'a' 'Pakistani' 'and' 'I' 'confirm'
 'surgical' 'Strike' 'hui' 'thi' '.' 'Phantom' 'main' 'Saif' 'ali' 'khan'
 'ne' 'ki' 'thi' '#SurgicalStrike']","['en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'hi' 'hi'
 'rest' 'rest' 'hi' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest']","['X' 'X' 'X' 'VERB' 'DET' 'ADJ' 'CONJ' 'PRON' 'NOUN' 'ADJ' 'NOUN' 'VERB'
 'VERB' 'X' 'PROPN' 'ADP' 'PROPN' 'PROPN' 'PROPN' 'ADP' 'ADP' 'VERB' 'X']"
18,"['RT' '@BATOLEBAZI' ':' 'Aaj' 'Tak' 'Communisto' 'Ki' 'Worker' 'Strike'
 'Hi' 'Dekha' '.' 'Strike' 'Itani' 'Khushi' 'Degi' 'Ye' 'Aaj' 'ki'
 '#SurgicalStrike' 'Ke' 'Baad' 'Pata' 'Chala' '.' 'Salute']","['en' 'rest' 'rest' 'hi' 'hi' 'rest' 'hi' 'en' 'en' 'hi' 'hi' 'rest' 'en'
 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'en']","['X' 'X' 'X' 'ADV' 'ADV' 'PROPN' 'ADP' 'NOUN' 'NOUN' 'PART' 'VERB' 'X'
 'NOUN' 'VERB' 'PART' 'PART' 'DET' 'ADV' 'ADP' 'X' 'ADP' 'ADP' 'VERB'
 'VERB' 'X' 'VERB']"
19,"['RT' '@loveafter_death' ':' '#SurgicalStrike' 'should' 'be' 'on'
 'Pakistan' 'defence' 'minister' 'k' 'asif' 'ke' 'gand' 'me' 'bomb' 'dal'
 'Kar' 'hona' 'chahiye' 'tha' 'maderchod']","['rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'rest' 'en' 'en' 'rest' 'rest'
 'hi' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi']","['X' 'X' 'X' 'X' 'VERB' 'VERB' 'ADP' 'PROPN' 'PROPN' 'PROPN' 'PROPN'
 'PROPN' 'ADP' 'NOUN' 'ADP' 'NOUN' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'NOUN']"
20,"['RT' '@PaatJohnywalker' ':' '#SurgicalStrike' '1st' 'boycott' 'Saarc' ','
 'surgical' 'strike' 'next' 'may' 'be' 'to' 'stop' 'river' 'Sindhu' '.'
 'Denewala' 'jabhi' 'deta' 'deta' 'chapad' 'p']","['rest' 'rest' 'rest' 'rest' 'rest' 'en' 'rest' 'rest' 'en' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi']","['X' 'X' 'X' 'X' 'ADV' 'VERB' 'PROPN' 'X' 'ADJ' 'NOUN' 'ADJ' 'VERB' 'VERB'
 'PART' 'VERB' 'NOUN' 'PROPN' 'X' 'PART' 'PART' 'VERB' 'VERB' 'NOUN' 'ADP']"
21,"['RT' '@TheArslanRana' ':' '#SurgicalStrike' '1' ':' 'Ghus' 'k' 'marengy'
 '2' ':' 'Sit' ""it's"" 'just' 'shooting' '3' ':' 'Bhai' 'Kabotar' 'na' 'aa'
 'jy' 'khi' '4' ':' 'Ammi' '2' ',' '3' 'trousers' 'bhj' 'den' '.' 'Sa']","['rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest' 'rest'
 'en' 'en' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest'
 'rest' 'hi' 'rest' 'rest' 'rest' 'en' 'hi' 'hi' 'rest' 'rest']","['X' 'X' 'X' 'X' 'NUM' 'X' 'VERB' 'ADP' 'NOUN' 'NUM' 'X' 'VERB' 'VERB'
 'ADV' 'VERB' 'NUM' 'X' 'NOUN' 'NOUN' 'PART_NEG' 'VERB' 'PRON' 'PART'
 'NUM' 'X' 'DET' 'NUM' 'X' 'NUM' 'NOUN' 'PART' 'VERB' 'X' 'PROPN']"
22,"['RT' '@mustansr_' ':' 'Dear' 'Indians' ',' 'we' 'are' 'peace' 'loving'
 'people' '.' 'Tum' 'log' 'border' 'pe' 'aa' 'jaya' 'kro' ',' 'kuch' 'ni'
 'kehte' 'hmare' 'army' 'wale' '!!' '#SurgicalStrike']","['en' 'rest' 'rest' 'en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest'
 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'hi'
 'rest' 'rest']","['X' 'X' 'X' 'ADJ' 'NOUN' 'X' 'PRON' 'VERB' 'NOUN' 'VERB' 'NOUN' 'X'
 'PRON' 'NOUN' 'NOUN' 'ADP' 'VERB' 'NOUN' 'VERB' 'X' 'DET' 'PART_NEG'
 'VERB' 'PRON' 'NOUN' 'PART' 'X' 'X']"
23,"['Let' 'us' 'injoy' 'middle' 'class' 'walo' '....' 'Bibiya' 'aaj' '500'
 'or' '1000' 'ke' 'note' 'Aapko' '300' 'or' '1000' 'me' 'de' 'skti' 'h'
 '#surgicalStrike' 'https://t.co/OjroOcSJ4Y']","['en' 'en' 'en' 'en' 'en' 'hi' 'rest' 'hi' 'hi' 'rest' 'hi' 'rest' 'hi'
 'hi' 'hi' 'rest' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest']","['VERB' 'PRON' 'VERB' 'ADJ' 'NOUN' 'PART' 'X' 'NOUN' 'ADV' 'NUM' 'CONJ'
 'NUM' 'ADP' 'NOUN' 'PRON' 'NUM' 'CONJ' 'NUM' 'ADP' 'VERB' 'NOUN' 'VERB'
 'X' 'X']"
24,"['@ArvindKejriwal' 'Next' 'time' 'arnd' 'please' 'ask' 'the' 'army' 'to'
 'tk' 'u' 'along' 'during' 'the' 'strikes' '..' 'doodh' 'ka' 'doodh'
 'pani' 'ka' 'pani' 'ho' 'jayega' '#SurgicalStrike']","['rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest']","['X' 'ADJ' 'NOUN' 'ADP' 'ADV' 'VERB' 'DET' 'NOUN' 'PART' 'ADV' 'PRON'
 'ADP' 'ADV' 'DET' 'NOUN' 'X' 'PART' 'ADP' 'PART' 'NOUN' 'ADP' 'NOUN'
 'VERB' 'VERB' 'X']"
25,"['@Shahidmasooddr' 'Sir' 'ap' 'ye' 'q' 'nhi' 'pochty' 'k' '#PMLN' 'waly'
 'sirf' '#IK' 'k' 'against' 'hi' 'q' 'bolty' 'hain' '#SurgicalStrike' 'k'
 'against' 'koi' 'press' 'conference' 'q' 'nhi']","['rest' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'rest' 'hi'
 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'en' 'hi' 'en' 'en' 'hi' 'hi']","['X' 'NOUN' 'PRON' 'DET' 'PRON_WH' 'PART_NEG' 'NOUN' 'ADP' 'X' 'ADJ' 'ADV'
 'X' 'ADP' 'ADP' 'PART' 'PRON_WH' 'NOUN' 'VERB' 'X' 'ADP' 'ADP' 'DET'
 'NOUN' 'NOUN' 'PRON_WH' 'PART_NEG']"
26,"['RT' '@DenNehaS' ':' '@Shahrcasm' 'P' '~' 'Pagal' 'A' '~' 'Arvind' 'K'
 '~' 'Kejriwal' ',' 'I' '~' 'India' 'did' 'S' '~' '#SurgicalStrike' '!'
 'T' '~' 'Tu' 'A' '~' 'Aaukaat' 'N' '~' 'Na' 'dikha']","['rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'rest' 'rest' 'rest'
 'rest' 'rest' 'rest' 'en' 'rest' 'rest' 'en' 'en' 'rest' 'rest' 'rest'
 'rest' 'rest' 'hi' 'hi' 'rest' 'hi' 'en' 'rest' 'hi' 'hi']","['X' 'X' 'X' 'X' 'X' 'X' 'ADJ' 'PART' 'X' 'PROPN' 'PROPN' 'X' 'PROPN' 'X'
 'PRON' 'X' 'PROPN' 'VERB' 'X' 'X' 'X' 'X' 'PROPN' 'X' 'PRON' 'PART' 'X'
 'DET' 'CONJ' 'X' 'PART_NEG' 'VERB']"
27,"['#SurgicalStrike' 'Indian' 'prisoner' 'Chandu' 'Babulal' 'Chohan' 's/o'
 'Bashan' 'Chohan' 'age' '22' 'yr' 'r/o' 'Mahristara' 'ex' '81' 'RR'
 'with' '1' 'SMG' '.' '6' 'mag' '&' '6' 'grenades']","['rest' 'en' 'en' 'rest' 'rest' 'rest' 'hi' 'rest' 'rest' 'en' 'rest' 'en'
 'hi' 'rest' 'rest' 'rest' 'rest' 'en' 'rest' 'rest' 'rest' 'rest' 'en'
 'rest' 'rest' 'en']","['X' 'ADJ' 'NOUN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'NOUN'
 'NUM' 'NOUN' 'NOUN' 'PROPN' 'NOUN' 'NUM' 'PROPN' 'ADP' 'NUM' 'PROPN' 'X'
 'NUM' 'NOUN' 'CONJ' 'NUM' 'NOUN']"
28,"['@JuDHafizSaeed' 'Ullu' 'k' 'patthe' 'ek' 'taraf' 'bolta' 'hai' 'ki'
 '#SurgicalStrike' 'was' 'never' 'take' 'place' 'and' 'dursi' 'taraf'
 'kahta' 'tu' 'btayega' 'kya' 'hoti' 'strike' '?']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en'
 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'rest']","['X' 'PART' 'ADP' 'NOUN' 'NUM' 'ADP' 'VERB' 'VERB' 'ADP' 'X' 'VERB'
 'PART_NEG' 'VERB' 'NOUN' 'CONJ' 'NOUN' 'ADP' 'NOUN' 'PRON' 'NOUN'
 'PRON_WH' 'VERB' 'NOUN' 'X']"
29,"['bharat' 'mata' 'ki' 'jai' '..' 'proud' 'to' 'be' 'an' '.' 'indian' '...'
 'thnx' 'indian' 'army' '....' 'and' 'to' 'Pakistan' 'I' 'want' 'to' 'say'
 '..' 'jaisi' 'krnii' 'vaisi' 'bhrnii' '#SurgicalStrike']","['rest' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'rest' 'en' 'rest' 'en'
 'en' 'en' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'rest' 'hi' 'hi'
 'hi' 'hi' 'rest']","['PROPN' 'NOUN' 'ADP' 'VERB' 'X' 'ADJ' 'PART' 'VERB' 'DET' 'X' 'ADJ' 'X'
 'PROPN' 'ADJ' 'NOUN' 'X' 'CONJ' 'PART' 'PROPN' 'PRON' 'VERB' 'PART'
 'VERB' 'X' 'ADP' 'PART' 'PART' 'PART' 'X']"
30,"['Indian' 'Army' 'Video' 'isiliye' 'nahi' 'dikha' 'rahi' ',' 'kyoki'
 'army' 'waha' 'phochi' 'to' 'terrerist' 'gay' 'sex' 'kar' 'rahe' 'the'
 'Kuch' 'nange' 'ghum' 'rahe' 'the' '#SurgicalStrike']","['rest' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'en' 'hi' 'hi' 'hi' 'en'
 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'rest']","['ADJ' 'NOUN' 'NOUN' 'VERB' 'PART_NEG' 'VERB' 'VERB' 'X' 'PRON' 'NOUN'
 'ADV' 'VERB' 'PART' 'VERB' 'VERB' 'NOUN' 'VERB' 'VERB' 'VERB' 'DET' 'ADJ'
 'VERB' 'VERB' 'DET' 'X']"
31,"['RT' '@abhijeetsinger' ':' 'Kaun' 'hai' 'ye' '??' 'Dhobi' 'ka' 'ghada'
 'Na' 'Ghar' 'ka' 'Na' 'ghat' 'ka' '..' 'Who' 'the' 'hell' 'is' 'he' 'to'
 'seek' 'd' 'information' '?' '#SurgicalStrike' 'https']","['en' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest'
 'rest' 'rest']","['X' 'X' 'X' 'PRON_WH' 'VERB' 'DET' 'X' 'NOUN' 'ADP' 'NOUN' 'PART_NEG'
 'NOUN' 'ADP' 'PART_NEG' 'VERB' 'ADP' 'X' 'PRON_WH' 'DET' 'NOUN' 'VERB'
 'PRON' 'PART' 'VERB' 'DET' 'NOUN' 'X' 'X' 'X']"
