idx,words,lid
10,"['@biplavhelllord' 'Ramro' 'cha' ',' 'ajai' 'ramro' 'banna' 'chai' 'baaki'
 'cha' ':D' 'kwi' 'darja' 'dieko' 'chaina' 'la' 'maile' ',' 'I' 'am'
 'saying' 'KTM' 'is' 'a' 'wonderful' 'place' 'chyante' '.']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2'
 'other']"
11,"['@biplavhelllord' 'Ani' 'plzz' 'no' 'hajur' 'sajur' 'wid' 'me' 'la' ':-)'
 'timi' 'is' 'just' 'fineee' ':D']","['other' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2'
 'other' 'lang2' 'lang1' 'lang1' 'lang1' 'other']"
12,"['@biplavhelllord' 'Basna' 'pani' 'ramro' 'cha' ',' 'you' ""don't"" 'know'
 'the' 'true' 'beauty' 'of' 'this' 'place' ',' 'ani' 'people' 'are' 'good'
 'too' '..' 'siknu' 'parcha' 'yahako' 'chalan' ':)']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
13,"['@biplavhelllord' 'Hey' '!' 'This' 'is' 'such' 'a' 'good' 'place' 'to'
 'be' ',' 'mero' 'KTM' 'lai' 'keii' 'naramro' 'nabhana' 'haii' '.']","['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
14,"['@engine_neear' 'Maile' 'ta' 'change' 'gardiye' 'timi' 'pano' 'gardeu'
 'yarr' ':D']","['other' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
15,['@mkhkopite' 'Tyo' 'ta' 'sometimes' ':D'],['other' 'lang2' 'lang2' 'lang1' 'other']
16,['@arjbasnet' 'Laujaa' '..' 'Take' 'care' 'bhai' ':)'],['other' 'lang2' 'other' 'lang1' 'lang1' 'lang2' 'other']
17,"['@arjbasnet' 'Haii' 'ta' 'sure' ':)' 'kaa' 'gaa' 'chan' 'duita' 'bhai'
 'haruu' '?']","['other' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']"
18,"['@arjbasnet' 'Woww' 'bhai' ':)' 'aba' 'ta' '2' 'bounty' 'bhayo' 'hai'
 ':-)']","['other' 'lang1' 'lang2' 'other' 'lang2' 'lang2' 'other' 'lang1' 'lang2'
 'lang2' 'other']"
19,['@Mrophiophagus' 'Wowww' 'kasto' 'thaa' 'paeko' 'yarrr' ';)' ')'],['other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
20,"['@arjbasnet' 'Foto' 'change' 'bhaera' 'keii' 'chaina' 'baccha' 'bacchi'
 'ko' ';)']","['other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
21,"['Samjhera' 'malaai' 'rudai' 'holiii' 'sort' 'of' 'song' 'sunne' 'weather'
 ':-)']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1'
 'other']"
22,['@SameepMalla' 'Hehehe' 'oho' 'hai' '.' 'Dangerr' 'types' 'raichaa'],['other' 'lang1' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang2']
23,"['@SameepMalla' 'Umm' 'khooi' 'k' 'ma' 'ho' 'but' 'mid' 'pages' 'maa' ','
 'its' 'more' 'women' 'stuff' 'so' 'I' ""don't"" 'know' 'if' ""you're""
 'gonna' 'like' 'it' 'much' ':-)']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1'
 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
24,"['@aakarpost' 'Hehehe' ':D' 'villain' 'nahi' ',' 'they' 'are' 'my'
 'protectors' 're' 'k' ':P']","['other' 'lang1' 'other' 'lang1' 'lang2' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang2' 'lang2' 'other']"
25,"['@aakarpost' 'Hehehe' '.' 'Once' 'again' ',' 'mero' 'dostlog' 'sanga'
 'plan' 'banisakyo' ':)' ')' 'sry' ':P']","['other' 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang2' 'other' 'lang2'
 'lang1' 'lang2' 'other' 'other' 'lang1' 'other']"
26,"['@regmijyoti' ""b'day"" 'present' 'chaiyo' 're' 'ish' 'dai' 'lai' ';)' ')'
 '@iShzz' '@ShankheKiro']","['other' 'lang1' 'lang1' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'other'
 'other' 'other' 'other']"
27,['@regmijyoti' 'Hajur' 'ni' 'ekdum' 'sweet' ':)' '@ShankheKiro' '@iShzz'],['other' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other' 'other']
28,"['@ShankheKiro' 'jamma' '9yrs' 're' ':P' 'hajur' 'ta' 'arko' 'generation'
 'ko' 'po' 'hoisido' 'raicha' 'hehehe' '@iShzz']","['other' 'lang2' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other']"
29,"['@regmijyoti' 'Ammmamama' 'hahaha' ':D' 'danger' 'sweet' 'hoisido'
 'raicha' ':P' '@ShankheKiro' '@iShzz']","['other' 'lang2' 'lang1' 'other' 'lang1' 'lang1' 'lang2' 'lang2' 'other'
 'other' 'other']"
30,"['@ShankheKiro' 'Ma' 'ni' 'dherai' 'barsa' 'dekhi' 'sweet16' 'nai' 'chu'
 ':P' '@iShzz']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'other' 'other']"
31,"['@iShzz' 'Malai' 'ta' 'kyaa' 'ramaailo' 'laagcha' 'birthday' ':)' ')'
 'ani' 'u' 'can' 'see' 'it' 'this' 'way-' 'not' 'gettin' 'old' 'but'
 'gettin' 'wise' 'n' 'smart' 'ni' ':D']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other'
 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'other']"
32,"['@iShzz' ':O' 'kina' 'testo' '?' 'Happy' 'Birthday' 'ta' 'khushi' 'ko'
 'din' 'po' 'ta' ':)']","['other' 'other' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
33,"['@PranjalGhimire' 'Yeahh' 'haii' '..' 'but' ""they're"" 'too' 'big' 'for'
 'me' '.' ""Can't"" 'finish' 'euta' 'purai' ':)' ')']","['other' 'lang1' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'lang2' 'lang2' 'other' 'other']"
34,"['@PranjalGhimire' 'Damn' '!' 'I' 'was' 'remembering' 'the' 'same' 'thing'
 'agi' 'tweet' 'garda' '.' 'Kyaa' 'danger' 'mitho' 'hune' 'k' 'hai' ':D']","['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang2' 'lang1' 'lang2' 'other' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
35,"['@OutlanderOne' 'Heheh' ':P' 'kati' 'badmaas' '.' 'On' 'a' 'serious'
 'note' ',' 'kasto' 'laagyo' '?']","['other' 'lang1' 'other' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang2' 'lang2' 'other']"
36,"['@PranjalGhimire' 'Aun' 'bhanya' 'haii' '.' 'When' 'I' 'think' 'of' 'it'
 ',' 'there' ""'s"" 'actually' 'nothing' ""'"" 'man' 'parena' ""'"" 'types' 'ke'
 'tya' 'ta' ':-)']","['other' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2'
 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'other']"
37,['@Grvris' 'Hahaha' ':D' 'I' 'use' 'this' 'word' 'ekdum' 'dherai' ':-)'],"['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2'
 'other']"
38,"['@Always_RedDeviL' '@kryshuriti' 'hehehe' ':D' 'ke' 'garnuu' 'estai'
 'bela' 'yaad' 'aaucha' 'KFC' 'pani' ':-)']","['other' 'other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang1' 'lang2' 'other']"
39,"['Launa' '!' 'KFC' 'ko' 'chicken' 'kurum' 'kurum' 'gardai' 'po' 'khana'
 'man' 'lagyo' 'adi' 'raat' 'maa' '..']","['lang2' 'other' 'ne' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
40,"['@anupdgn' 'Bas' 'ccd' ':)' 'accha' 'chalo' 'ek' 'bounty' 'bhi' 'dedo'
 '..' 'You' ""don't"" 'need' 'to' 'have' 'expensive' 'taste' 'for' 'good'
 'food' 'ni' 'ta' 'stoneman' ',' 'khoi' 'bujhya' '?' ':-)']","['other' 'other' 'other' 'other' 'other' 'other' 'other' 'lang1' 'lang2'
 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2'
 'other' 'other']"
41,"['@nishchaldhakal' 'Aahaa' ':)' 'hamro' 'Durbarmarg' 'kasto' 'bidesh'
 'sahar' 'types' 'dekheko' '.' 'O' 'wow' ':)']","['other' 'lang2' 'other' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'other' 'lang1' 'lang1' 'other']"
42,"['@Jangiz_' 'Haha' '.' 'Good' 'try' ';)' 'I' 'am' 'going' 'for' 'coffee'
 'today' 'eve' 'maa' ':D']","['other' 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'other']"
43,['@abiral_twit' 'Ho' 'ni' '..' 'sarai' 'ramro' 'cha' 'song' ':)'],['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'other']
44,"['@abiral_twit' 'Hehehe' '.' 'Maile' 'ni' 'geet' 'kai' 'lyrics'
 'lekhideko' 'ho' 'kya' ':D']","['other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'other']"
45,"['@TheGeniusStupid' 'Hehehehe' 'Ohhhh' 'Yesss' ':D' 'juhiiii' 'the'
 'chaaaawwlaaaa' ':P']",['other' 'lang1' 'lang1' 'lang1' 'other' 'ne' 'lang1' 'lang1' 'other']
46,"['@aavaas_412' 'Hamro' 'wala' 'remote' 'ma' 'ta' 'set' 'power' 'sangai'
 'press' 'garera' 'ani' '3digit' 'number' 'hannu' 'parthyo' ',' 'LG' 'ko'
 '040' 'ho' 'ki' '?']","['other' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2'
 'lang1' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'other' 'ne'
 'lang2' 'other' 'lang2' 'lang2' 'other']"
47,"['@nishchaldhakal' 'Haii' 'hahaha' 'koi' 'koi' 'le' 'ta' 'mood' 'freshh'
 'garaidinchan' 'ria' 'uthya' 'bela' 'ni' ':)' ')']","['other' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
48,"['@aavaas_412' 'Dependa' 'upon' 'the' 'model' 'of' 'the' 'TV' 'or' 'the'
 'company' 'I' 'think' ',' 'kun' 'company' 'ho' '?']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang1' 'lang2' 'other']"
49,"['@nishchaldhakal' 'Hehehehe' 'haii' ':D' 'ramaailo' 'huncha' 'je' 'hos'
 ',' 'you' 'see' 'all' 'types' 'of' 'people' 'ani' 'entertainment'
 'huncha' 'alchi' 'lagya' 'bhae' ':D']","['other' 'lang1' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'other']"
50,"['@niraj_1974' 'ohoo' '.' 'Valentine' 'month' 'ne' 'abhi' 'tak' 'nahi'
 'choda' ':P' 'hehehehe']","['other' 'lang2' 'other' 'lang1' 'lang1' 'lang2' 'other' 'other' 'other'
 'other' 'other' 'lang1']"
51,"['@nishchaldhakal' 'Hahahahhaha' '.' 'Ohh' 'God' 'atti' 'bho' 'yar' 'yo'
 'ta' ':D']","['other' 'lang1' 'other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
52,"['@devilruck' '@rabna12' 'keii' 'hoina' 'la' 'malai' 'asti' 'euta' 'aunty'
 'le' ""'"" 'nanu' 'timi' 'kati' 'class' 'ma' 'padhchau' '?' '8-9' 'ho' ""?'""
 'Re' ':D']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other'
 'lang1' 'lang2' 'other' 'lang2' 'other']"
53,['@Mrophiophagus' 'Yepp' '..' 'Thyakkai' 'testai' 'k' 'anuj' 'cha' ':P'],['other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
54,"['@anshuc003' 'Haii' ':D' 'euta' 'chai' 'i' 'am' 'sure' 'kun' 'part' 'ma'
 'royau' 'bhanera' 'tara' 'nabhanum' 'hola' 'eta' 'feri' 'maarchan' 'yaha'
 ':D' 'alia-' 'OMG' 'waat' 'acting' ':-)']","['other' 'lang2' 'other' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang2'
 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang1' 'lang1' 'lang1' 'other']"
55,"['@anshuc003' 'Abbuiii' 'roidekai' '?' 'It' 'is' 'so' 'good' 'hai' '.'
 'Atti' 'nai' 'amazing' '.' 'Last' 'part' 'jhan' 'babaal' '!' 'Oho' '!'
 'La' 'ma' 'dhukka' 'bhae' 'aba' ';)' ')']","['other' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2'
 'other' 'lang2' 'lang2' 'lang1' 'other' 'lang1' 'lang1' 'lang2' 'lang2'
 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other']"
56,"['@anshuc003' 'Haiii' ':)' 'kasto' 'raamroo' ':D' 'Hooda' 'is' 'too'
 'good' '.']","['other' 'lang2' 'other' 'lang2' 'lang2' 'other' 'ne' 'lang1' 'lang1'
 'lang1' 'other']"
57,"['@Jaw_Knock' 'You' 'are' 'tweeting' 'amazing' ',' 'gajjab' 'gajjab'
 'songs' ':D' '@YouTube']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang1'
 'other' 'other']"
58,"['@kryshuriti' 'Batti' 'maru' 'bahini' ',' 'tei' 'ni' 'mero' 'subisu'
 'aaudaina' 'etc' ':)']","['other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'ne'
 'lang2' 'lang1' 'other']"
59,"['@frankierimal' ':D' ':D' 'mero' 'ma' 'chai' '""' 'Happy' '""' 'Shivaratri'
 're' 'Angrez' 'kaa' 'santaan' 'le' ':-)']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other'
 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
60,"['@frankierimal' 'jhandaiii' 'hijo' 'maile' 'pani' ':D' 'thanks' 'to' 'u'
 'i' 'did' 'not' '=)']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other']"
61,"['@kryshuriti' 'khoi' 'malai' 'ta' 'tyo' 'strong' 'taste' 'nai' 'babbaal'
 'laagcha' ':)' '@knirvik']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'other' 'other']"
62,"['@kryshuriti' 'Hahaha' '.' 'I' 'love' 'the' 'taste' 'of' 'black' 'coffee'
 '.' 'Tyo' 'pani' 'not' 'nescafe' 'n' 'all' ',' 'hamro' 'pakka' 'Nepali'
 'coffee' 'ko' 'taste' ':D']","['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang2' 'lang2' 'lang1' 'ne' 'lang1' 'lang1' 'other'
 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang1' 'other']"
63,['@abiral_twit' 'Oopss' ':D' 'galti' 'se' 'mistake' 'bhaecha' ':)'],['other' 'lang1' 'other' 'lang2' 'mixed' 'lang1' 'lang2' 'other']
64,"['@laajekathauti' 'Eh' 'lau' 'maaryo' 'hehehe' ':-)' 'oho' 'you' 'share'
 'his' 'name' '..' 'la' 'badhaai' ':)']","['other' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'other']"
65,"['@fluctuating' 'This' 'is' 'my' 'all' 'time' 'fav' 'song' ':)' 'kasto'
 'wonderful' 'n' 'soothing' 'voice' 'bha' 'manche' 'cha' 'hai' 'yo'
 '#AtifAslam' ':-)']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang2' 'lang1' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'ne' 'other']"
66,"['Dances' 'amaazingly' ',' 'has' 'many' 'many' 'followers' 'and'
 'protects' 'the' 'universe' '.' 'Ahh' '!' 'Lucky' 'woman' 'Parvaati'
 'maata' ':D']","['lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'other' 'lang1' 'lang1' 'ne' 'lang2'
 'other']"
67,"['Just' 'imagine' 'how' 'cool' 'hamro' 'Lord' 'Shiva' 'is' ',' 'a' 'tough'
 'guy' 'who' 'wears' 'tiger' 'skin' '(' 'testo' 'chiso' 'thaau' 'maa' ')'
 'wid' 'a' 'snake' 'around' 'his' 'neck' '(+)']","['lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'ne' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
68,"['@biplavhelllord' 'amoii' 'ni' 'ta' 'welcomee' ';)' ',' 'bholi' 'ko'
 'experience' 'chai' 'share' 'hos' 'hai' 'plzz' ':D']","['other' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang1' 'lang2' 'lang2' 'lang1' 'other']"
69,"['@Pra_wait4it_tik' 'Asti' 'Saraswati' 'mata' 'sanga' 'kura' 'bhaisakyo'
 'teako' 'laagi' ':D']","['other' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
70,"['@kryshuriti' '@Jangiz_' 'kasailai' 'hoina' ',' 'esai' 'random' 'thought'
 'aaeko' '!' ':-)']","['other' 'other' 'lang2' 'lang2' 'other' 'lang2' 'lang1' 'lang1' 'lang2'
 'other' 'other']"
71,"['Choddeu' ',' 'uniharuko' 'life' ',' 'who' 'are' 'we' 'to' 'judge'
 'about' 'their' 'damn' 'life' '?' 'Afu' 'decent' 'bhae' 'pugcha' 'aaja'
 'ko' 'adhunik' 'sansaar' 'maa' '.']","['lang2' 'other' 'lang2' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
72,['@Scholes_Casa' 'Thyakkai' 'midnight' 'mai' ':D'],['other' 'lang2' 'lang1' 'lang2' 'other']
73,"['@devilruck' 'Hehehe' 'aun' 'highway' 'ma' 'danger' 'acting' 'cha' 'usko'
 'panii' ':)' ')']","['other' 'lang1' 'lang2' 'ne' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'other' 'other']"
74,"['@devilruck' 'Ho' 'yarr' ':D' 'kya' 'danger' 'axcting' 'garda' 'raicha'
 'solti' 'le' ':D']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']"
75,"['@Scholes_Casa' 'Hehehe' '.' 'Teii' 'bhaera' '.' 'Ekdummm' 'raamro' 'cha'
 'kyaa' '.' 'Timi' 'ni' 'herdeu' ';)' ')']","['other' 'lang1' 'other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other']"
76,['@Scholes_Casa' 'Its' 'thaaaat' 'gooood' 'k' 'bhunte' ':-)'],['other' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'other']
77,"['@mkhkopite' 'hehehehe' ':D' 'esso' 'bhandeko' 'nii' ';)' ')' 'timro'
 'kura' 'awashya' 'sunchaa' '@RandeepHooda' 'le']","['other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2']"
