idx,words,lid,ner
10,"['RT' '@rameshchahal' ':' '@Gurmeetramrahim' '#MSG2In505crOn200thDay'
 'Superb' '.......' 'guru' 'pa' '....']",['en' 'hi' 'rest' 'en' 'en' 'en' 'rest' 'hi' 'hi' 'rest'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
11,"['@JoinAAP' '@prena_' 'baap' 're' 'baap' 'free' 'khor' 'ho' 'saare' 'Ke'
 'saare' '#AAPtards' '.' 'Mehnat' 'se' 'kuch' 'mat' 'karna']","['rest' 'rest' 'hi' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest'
 'hi' 'hi' 'hi' 'hi' 'hi']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
12,"['@SANDEEPCOL' '@narendramodi' 'Tune' 'bola' 'to' 'samajh' 'ho' 'gaya'
 'sandy' 'bhai' '..' 'Raat' 'bahut' 'go' 'gayee' 'ja' 'so' 'ja' '..'
 'Nahi' 'to' 'bavala-panti' 'karta' 'rahega']","['rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'rest' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
13,"['@coolfunnytshirt' '250' 'k' 'baad' 'audience' 'ko' 'bhi' 'ball'
 'dikhayi' 'nahi' 'di' 'hogi' 'aymond' 'India' 'version'
 'https://t.co/0vOwIqg2NJ' 'via' '@sharethis']","['en' 'rest' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'rest'
 'en' 'en' 'en' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O'
 'O']"
14,"['RT' '@mailtosamip' ':' 'Not' 'sure' 'whats' 'more' 'challenging' ','
 'listening' ""Sonia's"" 'speech' 'or' 'hearing' 'Tarek' ""Shah's"" 'Angel'
 '#ScamQueenOnRoad']","['en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'rest' 'en' 'en'
 'en' 'rest' 'rest' 'en' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'B-PERSON'
 'I-PERSON' 'O' 'O']"
15,['@gurmeetramrahim' '#PiousBhandara' 'woww' 'great' 'papa' 'ji'],['en' 'rest' 'en' 'en' 'en' 'hi'],['O' 'O' 'O' 'O' 'O' 'O']
16,"['RT' '@KiranKS' ':' '#MahaShivratri' ':' 'Adi' ""Shankara's"" 'amazing'
 'Nirvana' 'Shatakam' '.' 'South' 'Indian' 'style' ':'
 'http://t.co/jnEadDi4ui' 'http://t.co/BnEZj0PYqp']","['en' 'rest' 'rest' 'rest' 'rest' 'hi' 'rest' 'en' 'rest' 'hi' 'rest' 'en'
 'rest' 'en' 'rest' 'en' 'en']","['O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']"
17,"['Dear' 'All' ',' 'Aap' 'sabhi' 'Ko' 'Mahashivratri' 'ki' 'hardik'
 'shubhkaamnaye' '.' 'Thanks' 'Vikas' 'Kumar-President' 'Helpline'
 '+917838021969']","['en' 'en' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'en' 'rest'
 'en' 'en' 'rest']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O']
18,"['@SRKsCombatant' '@Imab1d' '@Pyaari_RiTu__' '@SrkSaroz' '@SRKsWarrior2_'
 'acha' '...' 'kahan' 'chaligeyi' 'he' 'fir' 'wo' '?']",['en' 'rest' 'rest' 'en' 'en' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
19,"['@ArvindKejriwal' 'Totaly' 'chutiyapa' 'suru' 'kar' 'diya' '.' 'Yadi'
 'tu' 'sahi' 'hai' 'public' 'waise' 'hi' 'jita' 'degi' '.' 'Ye' 'sab'
 'nutanki' 'mat' 'kar']","['en' 'en' 'en' 'en' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'hi'
 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
20,"['@meet1973vibe' 'Itna' 'sab' 'post' 'kiya' 'aur' 'aapko' 'sirf' 'Dimaag'
 'hi' 'chahiye' ':D']",['en' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
21,"['RT' '@Kailashkher' ':' 'To' 'all' 'Kashir' 'Panun' 'Herath' 'Mubarak'
 '.' 'Happy' 'Mahashivratri' 'to' 'All' '.' 'Shiv' 'Shashwat' 'Hain' ','
 'Sthir' 'Hain' ',' 'ShantSalone' 'Hai' ',' 'Utpatti' 'Ke']","['en' 'hi' 'rest' 'en' 'en' 'hi' 'rest' 'en' 'rest' 'rest' 'en' 'en' 'en'
 'en' 'rest' 'hi' 'hi' 'hi' 'rest' 'en' 'hi' 'rest' 'hi' 'hi' 'rest' 'en'
 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
22,"['Tu' 'ho' 'gyi' 'permanent' 'kisi' 'or' 'ki' ',' 'Tujhe' 'chahne' 'wale'
 'abi' 'contractual' 'hai' '....' 'Purely' 'contractual' '...']","['hi' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'hi'
 'rest' 'en' 'en' 'rest']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
23,"['Audi' 'A6' 'for' 'Rs' '17' 'lakh' ':' 'Chennai' 'after' 'flood' 'is'
 'car' 'lovers' 'paradise' 'https://t.co/6SMWlV8Zr0' '""' 'RCC' 'road' '""'
 '(' 'Ghatlodia' ')' ',' 'its' 'a' 'line' 'of' 'Growth' '!!']","['hi' 'rest' 'en' 'en' 'en' 'hi' 'rest' 'hi' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest' 'rest' 'en' 'rest' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en'
 'en' 'en' 'rest']","['B-ORGANISATION' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'B-PLACE' 'I-PLACE' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']"
24,"['@ashutosh83B' 'Aap' 'jaisa' 'talentd' 'banda' 'jiske' 'pass' 'hoga'
 'woh' 'top' '50' 'kya' 'top' '5' 'pe' 'pahunch' 'jayega' '.' 'Aap' 'AK'
 'ko' 'Punjab' 'bhejke' 'khud' 'Delhi' 'ke' 'CM' 'banjao' '.']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'rest' 'hi' 'en'
 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'rest' 'hi'
 'rest' 'rest' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-PERSON' 'O' 'B-PLACE' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O']"
25,"['Dear' 'India' ',' 'Ek' 'baar' 'phir' 'bol' 'do' '""' 'Aany' 'dyy' '""'
 '#IndvsPak' '#CWC15']","['en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'rest'
 'rest' 'rest']",['O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
26,"['RT' '@DainikBhaskar' ':' 'Aapki' 'Acchi' 'zidd' 'kya' 'hai' '?'
 'https://t.co/8JNuWXcHwg']",['en' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
27,"['RT' '@MukulKMishra' ':' 'Tumhi' 'log' 'bole' 'ki' 'campus' 'se' 'police'
 'hata' 'lo' 'https://t.co/LEziPujl17']",['en' 'en' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'en' 'hi' 'hi' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
28,"['Hindu' 'kaam' 'km' 'krte' 'h' 'or' 'dhapli' 'jyada' 'bjate' 'h' '...'
 'baaki' 'log' 'shanti' 'se' 'apna' 'kaam' 'kr' 'jate' 'h' '#Gharwapsi'
 '#MahaShivratri' '@RSS4India']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
29,"['RT' '@bdnews_org' ':' '#bdnews' '#bangladesh' 'Eight' 'militants' 'from'
 'Bangladesh' 'surrender' 'in' 'Tripura' '-' 'Business' 'Standard' ':'
 'NewsxEight' 'milit' '...' 'https://t']","['en' 'en' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'rest' 'en' 'en' 'en'
 'rest' 'en' 'rest' 'rest' 'en' 'en' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'B-PLACE' 'O'
 'B-ORGANISATION' 'I-ORGANISATION' 'O' 'O' 'O' 'O' 'O']"
30,"['PIB_India' '#UHF' 'RT' '@MIB_India' ':' '#RailBudget2015' '-' 'Glossary'
 'of' 'Budgetary' 'Terms' '(' '5/5' ')' '#' 'RailMinIndia'
 'http://t.co/2o0ljvHbNN']","['rest' 'rest' 'en' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest'
 'rest' 'rest' 'rest' 'rest' 'rest']","['B-ORGANISATION' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-ORGANISATION' 'O']"
31,"['RT' '@ShankarNaresh1' ':' 'Wish' 'U' 'Happy' 'Mahashivrathiri' 'To'
 'All' '#MahaShivratri' '@AnjanaVJ' '@Manivj07' '@jan_iyer'
 '@iamlakshmirai' 'sunday' 'http://t.co/qPzDRUxiOa']","['en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest'
 'rest' 'rest' 'en' 'en']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
32,"[':' 'LAST' 'NIGHT' 'MAHASHIVRATRI' 'RUDRABHISHEK' '.....' 'Vastraadi'
 'Arpan' '...' 'http://t.co/bscng4oXJ7']",['rest' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'hi' 'rest' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
33,"['RT' '@anuja_swamy' ':' '@ashramindia' 'Mahashivratri' 'k' 'pavan' 'parv'
 'pr' 'param' 'pujya' 'sant' 'shree' 'asaram' 'bapu' 'ji' 'ke' 'shree'
 'charano' 'me' 'mera' 'koti' 'koti' 'vanda']","['en' 'rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en'
 'en' 'en' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON'
 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
34,"['#RailBudget2015' 'higher' 'expectations' '...' 'Dikaho' 'ache' 'din'
 '...' 'http://t.co/gBjdED9iM5']",['en' 'en' 'en' 'rest' 'hi' 'hi' 'hi' 'rest' 'rest'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
35,"['RT' '@makeinindia' ':' 'India' 'has' 'recently' 'allowed' 'up' 'to'
 '100%' '#FDI' 'via' 'the' 'automatic' 'route' 'for' 'medical' 'devices'
 '.' '#pharmaceuticals' '#MakeInIndia' 'http']","['en' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'hi' 'rest' 'rest' 'en'
 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'rest' 'en']","['O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
36,"['Ramdev' ""Baba's"" 'Train' '-' '""' 'Yoga' 'se' 'Hoga' '""' 'Express'
 '#CelebTrains' '#RailBudget2015' '#PrabhuKiRail']","['rest' 'rest' 'en' 'rest' 'rest' 'en' 'hi' 'hi' 'rest' 'en' 'en' 'en'
 'rest']",['B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
37,"['@NautankiNinja' 'padhaai' 'hi' 'nahi' 'ho' 'paati' 'exam' 'ke' 'time'
 ',' 'major' 'reason' 'twitter' 'nkajshuklabjp' '@bhattkaran83'
 '@iambmane' '@NayakDeep' '@hbparmar211' 'htt']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'en' 'rest' 'en' 'en' 'en'
 'rest' 'rest' 'rest' 'rest' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORGANISATION' 'O' 'O'
 'O' 'O' 'O' 'O']"
38,"['@_taurus30' '@SarahZaki11' 'Bachon' 'Aj' '#MahaShivratri' 'he17'
 'Somwar' 'Varat' 'karne' 'se' 'acha' 'PATI' 'milta' 'hai' '.' 'Ye'
 'Suwami' 'G' 'Kehte' 'hen' ',' 'Muft' 'ki' 'Advice' 'di' 'he']","['hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'hi' 'en' 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
39,"['PIB_India' '#UHF' 'RT' 'MIB_India' ':' 'LIVE' 'shortly' ':'
 'RailMinIndia' 'Minister' 'Shri' 'sureshpprabhu' 'presenting'
 '#RailBudget2015' 'at' 'https://t.co/vGJq4YCXyc']","['rest' 'rest' 'en' 'rest' 'rest' 'en' 'en' 'rest' 'rest' 'en' 'hi' 'rest'
 'en' 'en' 'en' 'en']","['B-ORGANISATION' 'O' 'O' 'B-ORGANISATION' 'O' 'O' 'O' 'O'
 'B-ORGANISATION' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O']"
40,"['Behenchod' 'twitter' 'celeb' '.' 'Shikar' 'dhawan' 'ko' 'replace'
 'karna' 'chahte' 'the' 'na' '.' '#IndvsPak']","['en' 'en' 'en' 'rest' 'hi' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'rest'
 'rest']","['O' 'B-ORGANISATION' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']"
41,"['@ImtiyazAzhar' 'Kashmiri' 'citizens' 'are' 'misled' 'by' 'the'
 'propaganda' 'spread' 'by' 'the' 'anti-India' 'forces' 'in' 'and'
 'outside' 'Kashmir']","['hi' 'hi' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'hi']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE']
42,"['@narendramodi' 'ji' ',' 'will' 'come' 'to' 'India' 'directly' 'with'
 'French' 'president' 'on' 'Republic' 'day']","['rest' 'hi' 'rest' 'en' 'en' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'en'
 'en']",['O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
43,"['Sonakshi' 'Sinha' 'out' 'of' 'the' 'Hasina' 'Biopic' '!'
 'https://t.co/hID75opFyz']",['rest' 'rest' 'en' 'en' 'en' 'hi' 'en' 'rest' 'en'],['B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
44,"['RT' '@smitaprakash' ':' 'Na' '.' 'Na' 'kar' 'yeh' 'sab' 'Afridi'
 'http://t.co/7QJiqGuqxq']",['en' 'rest' 'rest' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O']
45,"['@anjali_18_rasik' '@prashanth_Kohli' '@Drama_queenRJ' '@riya9sobti'
 'hein' ':O' 'Kuch' 'vii' 'but' 'acha' 'haii' ':-P']",['rest' 'rest' 'rest' 'hi' 'hi' 'rest' 'hi' 'hi' 'en' 'hi' 'hi' 'rest'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
46,"['RT' '@MosesSapir' ':' 'Amitabh' 'ji' '&' 'Yash' 'Chopra' 'ji' 'during'
 'a' 'shoot' 'for' '""' 'Kaala' 'Pathaar' '""' '@SrBachchan'
 'http://t.co/KUNbE8kU9R']","['en' 'en' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'en' 'en' 'en' 'rest'
 'hi' 'hi' 'rest' 'rest' 'rest']","['O' 'O' 'O' 'B-PERSON' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
47,"['RT' '@nickhunterr' ':' 'The' 'speed' 'of' '""' 'Bhai' 'jaldi' 'call'
 'kar' 'balance' 'nahi' 'hai' '""' 'is' 'faster' 'than' '""'
 'Mutualfundsaresubjecttomarketriskspleasereadtheofferdo']","['en' 'en' 'rest' 'en' 'en' 'en' 'rest' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi'
 'rest' 'en' 'en' 'en' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']"
48,"['Happy' 'Mahashivratri' '....' 'Omm' 'Namah' 'Shivaya' '...'
 'http://t.co/RCxmaN9C7d']",['en' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
49,"['RT' '@rajneeshjindal' ':' '@Gurmeetramrahim' '#BlockBusterMSG' 'PitaJi'
 ',' 'Aap' 'Ko' 'Bhi' 'Mahashivratri' 'ki' 'Lakh' 'Crore' 'Badhai' ','
 'Thank' 'You' 'PitaJi' ',' 'Hame' 'Apni' 'Sha']","['en' 'rest' 'rest' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi'
 'hi' 'en' 'hi' 'rest' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
50,"['Shree' 'Arvind' '#Kejriwal' 'Delhi' 'se' 'Latur' 'ko' 'apne' 'AAP'
 'pani' 'bhejte' 'hue' '....' 'https://t.co/8HTJLVhFlN']","['en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest'
 'en']","['O' 'B-PERSON' 'O' 'B-PLACE' 'O' 'B-PLACE' 'O' 'O' 'B-ORGANISATION' 'O'
 'O' 'O' 'O' 'O']"
51,"['@MrsGandhi' '@ExSecular' '@sanjaynirupam' '@OfficeOfRG' 'Pappul'
 'Gandhi' 'ko' 'khush' 'karne' 'ki' 'chakkar' 'me' 'pagala' 'gaya' 'hai'
 '!' 'Public' 'murakh' 'samaj' 'rakha' 'hai' '?']","['rest' 'en' 'rest' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'hi' 'rest' 'en' 'hi' 'hi' 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
52,['Gaya' 'saala' 'akhir' 'tabaahi' 'macha' 'k' '!!' 'Pr' 'ab' 'maxwell'],['hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON']
