idx,words,ner
26,"['@mshkokogirl' '@iMozdava' '@ahmedhamdi7' 'فيه' 'كرات' 'رفيع' 'بيتعمل'
 'بيه' 'الطعمية' '/' 'الفلافل' 'بحسب' 'منطقتك' 'والعريض' 'رأسه' 'بتتحشى'
 'اسطوانية' 'زى' 'البصل']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
27,"['نحتاج' 'جميعا' 'الى' 'لم' 'شمل' 'المصريين' 'والعمل' 'معا' '،' 'والتأكيد'
 'على' 'أنه' 'لا' 'يوجد' 'صراع' 'بين' 'الاجيال' 'والثورات' 'التي'
 'يمثلونها' 'والطبقات' 'التي' 'استفادت' 'منها']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
28,"['هل' 'زارت' 'زوجة' 'مرسي' 'اسر' 'خمسين' 'طفلا' 'ماتوا' 'في' 'أسيوط'
 'وأرواحهم' 'في' 'رقبة' 'زوجها' 'اين' 'ذلك' 'من' 'تشبه' 'مرسي' 'بعمر'
 'الذي' 'سيسئل' 'عن' 'البغلة' 'التى' 'عثرت' '.' 'ما' 'أكذبكم']","['O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
29,"['@mostafayassamer' 'مش' 'عارفة' 'بس' 'اللي' 'حقيقي' 'ان' 'لسة' 'متاخدش'
 'بجدية' '...' 'مجرد' 'فرقعة' 'للتشويه' 'وياريت' 'يتم' 'التحقيق' 'فيه'
 'فعلا']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
30,"['على' 'فكرة' 'إنتو' 'ماتهونوش' 'عليا' 'وإلا' 'كنت' 'عملت' 'لكو' 'شوية'
 'ريتويتات' 'من' 'ناس' 'واخدين' 'موضوع' 'الأندلس' 'جد' '.' 'واحدة' 'كاتبة'
 'ستعود' 'الأندلس' 'رغما' 'عن' 'أنفك' '.' 'إنشراح' 'فين']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O'
 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'B-PER' 'O']"
31,"['تعاطفك' 'مع' 'غزة' 'و' 'فلسطين' 'غير' 'مرهون' 'بحماس' '.' 'اقروا'
 'التويتة' 'السابقة' 'لتعرفوا' 'كيف' 'يفكر' 'الاخوان' 'في' 'كل' 'مكان' '.'
 'الوسطية' 'بتعاتهم' 'اكذوبة']","['O' 'O' 'B-LOC' 'O' 'B-LOC' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
32,"['الاشتراك' 'في' 'الاستفتاء' 'البائس' 'اعتراف' 'بشرعيته' '.' 'كل' 'ما'
 'فعله' 'مرسي' 'باطل' 'وغير' 'شرعي' 'ولا' 'استبعد' 'على' 'الاخوان' 'تزوير'
 'النتائج' '.' 'أنا' 'مع' 'المقاطعة' 'الشاملة']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
33,"['صباح' 'الخير' ':' '""' 'اليوم' 'نتحد' 'لنغير' '""' '...' 'مصر' 'اللي'
 'بنحلم' 'بيها' '""']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O']
34,"['احيي' 'الشيخ' 'حسن' 'عبد' 'البصير' 'امام' 'مسجد' 'سيدى' 'جابر' 'الذي'
 'رفض' 'تعليمات' 'الأوقاف' 'بنفاق' 'مرسي' 'في' 'خطبة' 'الجمعة' '.'
 'تعلموا' 'الاستقامة' 'أيها' 'الاخوان' 'الكاذبون']","['O' 'O' 'B-PER' 'I-PER' 'I-PER' 'O' 'B-LOC' 'I-LOC' 'I-LOC' 'O' 'O' 'O'
 'B-ORG' 'O' 'B-PER' 'O' 'O' 'B-TIME' 'O' 'O' 'O' 'O' 'B-GROUP' 'O']"
35,"['من' 'دعاء' 'الصالحين' ':' 'اللهم' 'إجعلنا' 'من' 'أهل' 'اليسار' 'الذين'
 'يأخذون' 'كتابهم' 'باليمين']",['O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
36,"['إن' 'مصر' 'الدولة' 'والمجتمع' 'قد' 'أظلها' 'عهد' 'جديد' 'لا' 'مجال'
 'فيه' 'للطغيان' 'أو' 'الظلم' 'أو' 'التمييز' 'أو' 'غياب' 'العدالة'
 'الاجتماعية' '#الرئيس']","['O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
37,"['@il_ladro' '@adam365yoom' '@alqudahsahar' 'دا' 'الحساب' 'الوحيد' 'اللى'
 'ليه']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
38,"['من' 'فوائد' 'مناظرة' 'النهاردة' 'إن' 'الشعب' 'قاعد' 'يتفرج' 'على'
 'الكنبة' 'أو' 'في' 'القهوة' 'والمرشح' 'واقف' 'بقاله' 'ساعتين' 'يحاول'
 'إقناعه' 'إنه' 'الأصلح' '..' 'أنا' 'كشعب' 'انبسطت' ':)']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
39,['التالى' 'هو' 'نص' 'الشهادة' 'التى' 'قدمها' 'للنائب' 'العام' '3'],['O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O']
40,"['هل' 'سنرى' 'اليوم' 'الذي' 'نعود' 'فيه' 'إلى' 'حياة' 'طبيعية' 'دون'
 'مظاهرات' 'أو' 'اعتصامات' 'أو' 'إضرابات' '...' 'و' 'لا' 'اتهامات' 'و'
 'محاكمات' 'و' 'انتقام' '؟' 'نرجع' 'إلى' 'عملنا' 'و' 'حياتنا']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
41,"['كلما' 'ظهر' 'مسئول' 'إخواني' 'على' 'الشاشات' 'استخدم' 'آية' 'قرآنية'
 'لتبرير' 'أفعاله' '،' 'لن' 'أستغرب' 'إذا' 'أصبح' 'شعار' 'مصلحة' 'الضرائب'
 'في' 'عهد' 'الإخوان' '(إدفع' 'بالتي' 'هي' 'أحسن' ')']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-ORG' 'I-ORG' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O']"
42,['بالغ' 'احترامى' 'ليسرى' 'فوده' '1'],['O' 'O' 'B-PER' 'I-PER' 'O']
43,"['الذهن' 'المتطرف' 'عاجز' 'عن' 'الخيال' 'لانه' 'قائم' 'على' 'التلقين'
 'ولذلك' 'فهو' 'عاجز' 'عن' 'تذوق' 'الفن' '.' 'الفن' 'والتطرف' 'نقيضان'
 'لا' 'يلتقيان' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
44,"['إن' 'الله' 'يقيم' 'الدولة' 'العادلة' 'وإن' 'كانت' 'كافرة' 'ولا' 'يقيم'
 'الدولة' 'الظالمة' 'وإن' 'كانت' 'مسلمة' '.' '-' 'ابن' 'تيمية']","['O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-PER' 'I-PER']"
45,"['نداء' 'لمسيحيي' 'مصر' ':' 'مصر' 'كانت' 'وستبقي' 'وطنا' 'لكل' 'المصريين'
 '،' 'ابقوا' 'في' 'وطنكم' 'لأنه' 'بحاجة' 'لجهد' 'وعرق' 'وفكر' 'كل'
 'أبنائه' 'مسيحيين' 'ومسلمين' '،' 'ايد' 'واحدة' 'نبني' 'بلدنا']","['O' 'O' 'B-LOC' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
46,"['هذه' 'نتيجة' 'أن' 'نظام' 'الحكم' 'قد' 'سعى' 'لطمس' 'الهوية' 'الوطنية'
 'واشغال' 'المصريين' 'في' 'معاناتهم' 'اليومية' '،' 'بينما' 'الأمن'
 'القومي' 'المصري' 'يتعرض' 'لخطر' 'حقيقي' 'لا' 'شك' 'فيه']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
47,"['أنهينا' 'بحمد' 'الله' 'بنجاح' 'مشاركتنا' 'في' 'مؤتمر' 'وزارة' 'السياحة'
 '/' 'شرم' 'الشيخ' 'وتلخصت' 'توصيات' 'حزب' 'النور' 'للخروج' 'من' 'الأزمة'
 'في' 'التالي' ':' '1']","['O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'O' 'B-LOC' 'B-PER' 'O'
 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
48,"['دون' 'تحديد' 'ماهية' 'هذه' 'الاستراتيجية' 'سوى' 'تشديده' 'على' 'أن'
 'هذه' 'الاستراتيجية' 'قائمة' 'على' 'جعل' 'العالم' 'الإسلامى' 'قادراً' '6']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
49,"['#ضد_الشهود_الزور:' '١٩' '-' 'وفى' 'انتظاركم' 'للتضامن' 'مع' 'الفرسان'
 'التلاتة' 'فقضية' 'الحرية' 'لا' 'تتجزأ' 'بعد' 'ساعات' 'عندنا' 'جلسة' '٩'
 'ص' 'فى' 'محكمة' 'جنوب' 'القاهرة' 'لاست']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-LOC' 'I-LOC' 'I-LOC' 'O']"
50,"['مصر' 'تحقق' 'تحسنا' 'في' 'الجدارة' 'الائتمانية' 'بأن' 'استبعدت' 'من'
 'قائمة' 'الترقب' 'في' 'سبتمبر' 'الماضي' '#الرئيس']","['B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PROD' 'I-PROD' 'O' 'B-TIME'
 'O' 'O']"
51,"['في' 'اى' 'بلد' 'د' 'يمقراطي' 'عندما' 'يذهب' 'مرشح' 'يسارى' 'الى'
 'الراسماليين' 'فيدعمونه' 'يكوت' 'من' 'حق' 'الراى' 'العام' 'ان' 'يعرف'
 'ما' 'التعهدات' 'التى' 'قدمها' 'لهم' 'حتى' 'يدعموه' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
52,"['وكلّه' 'كوم' 'وموضوع' '""آآآآآساحبي' '""' 'ده' 'كوم' 'تاني' 'خالص']",['O' 'O' 'O' 'B-TITLE' 'O' 'O' 'O' 'O' 'O']
53,"['بعد' 'الحكم' 'القضائي' 'النهائي' 'لصالح' 'الضباط' 'الملتحين' 'ننتظر'
 'من' 'الرئيس' 'بوصفه' 'فصلا' 'بين' 'السلطات' 'أن' 'يلزم' 'السلطة'
 'التنفيذية' 'بتنفيذ' 'أحكام' 'القضاء' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
54,"['عندي' 'اعتراف' '.' 'حتى' 'من' 'ايام' 'اليوتيوب' '،' 'او' 'الموسم'
 'الاول' 'لا' 'استطيع' 'مشاهدة' 'نفسي' 'ع' 'التلفزيون' '.' 'تصبحوا' 'على'
 'خير']","['O' 'O' 'O' 'O' 'O' 'O' 'B-PROD' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
55,"['لهواة' 'أدب' 'الرعب' 'وأدب' 'الديكتاتور' 'أنصح' 'بقراءة' 'حلقات'
 'نشرتها' 'الحياة' 'اللندنية' 'مع' 'مساعدي' 'القذافي' 'فيها' 'تفاصيل'
 'يضرب' 'الخيال' 'نفسه' 'بالصرمة' 'لو' 'فكر' 'فيها']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-TITLE' 'I-TITLE' 'O' 'O' 'B-PER'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
56,"['#شفيق' ':' 'أرجو' 'أن' 'ينجح' 'السيد' 'كوفي' 'عنان' 'في' 'الوصول' 'الي'
 'تسويه' 'للأزمه' 'السورية' 'ونأمل' 'ان' 'يجد' 'تعاونا' 'وتفهما' 'يوقف'
 'اراقة' 'الدماء' 'ويحقق' 'الديموقراطية']","['O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
57,"['#شفيق' ':' 'البرلمان' 'عمره' '5' 'سنوات' 'فقط' '.' 'كيف' 'للبرلمان'
 'المؤقت' 'أن' 'يتدخل' 'و' 'يتحكم' 'في' 'وضع' 'الدستور' 'الدائم' '؟'
 'الدستور' 'أولا']","['O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
58,"['من' 'الطبيعي' 'أن' 'تتناثر' 'الإتهامات' 'والتشنيعات' 'والشتائم'
 'والرصاصات' 'في' 'كل' 'إتجاه' 'إذا' 'كان' 'رأس' 'الدولة' 'عاجزا' 'عن'
 'إتخاذ' 'القرار']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
59,"['سبب' 'وجود' 'أدمن' 'هو' 'رفع' 'حلقات' 'أمريكا' 'بالعربي' 'او' 'حلقات'
 'البرنامج' 'بصورة' 'أسرع' 'حيث' 'ان' 'د.' 'باسم' 'غير' 'متواجد' 'على'
 'تويتر' 'او' 'فيس' 'بوك' '24' 'ساعة']","['O' 'O' 'O' 'O' 'O' 'O' 'B-TITLE' 'I-TITLE' 'O' 'O' 'B-TITLE' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'O' 'O' 'O' 'B-PROD' 'O' 'B-PROD' 'I-PROD' 'O' 'O']"
